ID do estudante,Nota Corte Grupo Preferência,Código do curso,Média nota Enem,Situação Inscrição Fies,defacto_cutoff
201869395,571.02,5001395,517.1,LISTA DE ESPERA,542.78
201869396,548.12,82227,515.94,CONTRATADA,450.16
201869396,548.12,81113,515.94,OPÇÃO NÃO CONTRATADA,450.16
201869396,548.12,20110,515.94,OPÇÃO NÃO CONTRATADA,450.16
201869398,731.72,1390317,737.26,NÃO CONTRATADO,696.82
201869398,731.72,1399479,737.26,NÃO CONTRATADO,696.82
201869398,731.72,1397772,737.26,NÃO CONTRATADO,696.82
201869400,519.04,1313473,600.92,NÃO CONTRATADO,511.64
201869401,737.68,1390309,723.26,LISTA DE ESPERA,724.48
201869402,594.92,9228,582.92,NÃO CONTRATADO,569.68
201869403,551.38,1069852,551.38,NÃO CONTRATADO,463.42
201869403,551.38,1183961,551.38,NÃO CONTRATADO,463.42
201869404,749.3,1483773,750.6,NÃO CONTRATADO,729.16
201869406,538.44,1121143,500.16,LISTA DE ESPERA,514.52
201869407,602.44,1164796,609.04,NÃO CONTRATADO,505.44
201869410,522.96,1279601,509.92,NÃO CONTRATADO,488.86
201869410,522.96,1174892,509.92,NÃO CONTRATADO,488.86
201869410,522.96,1279601,509.92,NÃO CONTRATADO,488.86
201869411,763.86,5000933,507.0,LISTA DE ESPERA,733.1
201869411,763.86,1109361,507.0,LISTA DE ESPERA,733.1
201869411,763.86,1185903,507.0,LISTA DE ESPERA,733.1
201869412,540.92,1341675,572.9,NÃO CONTRATADO,454.24
201869412,540.92,98261,572.9,NÃO CONTRATADO,454.24
201869412,540.92,1303633,572.9,NÃO CONTRATADO,454.24
201869413,569.4,67319,477.04,LISTA DE ESPERA,534.46
201869413,569.4,1069977,477.04,LISTA DE ESPERA,534.46
201869413,569.4,1281096,477.04,LISTA DE ESPERA,534.46
201869414,464.48,49548,520.92,PARTICIPACAO CANCELADA PELO CANDIDATO,464.48
201869415,554.98,19531,539.18,PARTICIPACAO CANCELADA PELO CANDIDATO,521.0
201869415,554.98,19557,539.18,PARTICIPACAO CANCELADA PELO CANDIDATO,521.0
201869415,554.98,54838,539.18,PARTICIPACAO CANCELADA PELO CANDIDATO,521.0
201869417,608.3,1385041,527.04,LISTA DE ESPERA,546.94
201869418,483.1,1330330,490.64,NÃO CONTRATADO,450.08
201869418,483.1,1330316,490.64,NÃO CONTRATADO,450.08
201869418,483.1,1330316,490.64,NÃO CONTRATADO,450.08
201869419,729.0,1173014,690.22,LISTA DE ESPERA,712.14
201869420,587.68,88724,543.58,CONTRATADA,543.58
201869422,589.6,5480,520.38,NÃO CONTRATADO,450.66
201869422,589.6,5486,520.38,NÃO CONTRATADO,450.66
201869422,589.6,5480,520.38,NÃO CONTRATADO,450.66
201869423,609.52,1484466,619.22,CONTRATADA,598.76
201869423,609.52,1484468,619.22,OPÇÃO NÃO CONTRATADA,598.76
201869424,594.86,104404,592.6,CONTRATADA,454.74
201869424,594.86,104404,592.6,OPÇÃO NÃO CONTRATADA,454.74
201869425,742.74,5000930,720.88,LISTA DE ESPERA,731.4
201869425,742.74,1059179,720.88,LISTA DE ESPERA,731.4
201869428,740.58,1399615,589.74,LISTA DE ESPERA,729.76
201869429,533.66,22263,606.3,CONTRATADA,462.98
201869430,660.82,1457306,613.36,LISTA DE ESPERA,660.82
201869430,660.82,1457306,613.36,LISTA DE ESPERA,660.82
201869430,660.82,1349613,613.36,LISTA DE ESPERA,660.82
201869431,583.62,1204391,501.2,CONTRATADA,456.74
201869432,584.72,37979,517.96,NÃO CONTRATADO,469.46
201869432,584.72,111978,517.96,NÃO CONTRATADO,469.46
201869432,584.72,73795,517.96,NÃO CONTRATADO,469.46
201869433,454.28,1263714,479.42,CONTRATADA,454.28
201869433,454.28,1151588,479.42,OPÇÃO NÃO CONTRATADA,454.28
201869434,559.2,1322459,492.14,NÃO CONTRATADO,452.18
201869434,559.2,1466968,492.14,NÃO CONTRATADO,452.18
