,AMC,A_soy_l,A_soy_h,dA_soy,year
0,1,0.394,2.7152991,2.321299,1996.0
1,1,0.394,2.7152991,2.321299,1997.0
2,1,0.394,2.7152991,2.321299,1998.0
3,1,0.394,2.7152991,2.321299,1999.0
4,1,0.394,2.7152991,2.321299,2000.0
5,1,0.394,2.7152991,2.321299,2001.0
6,1,0.394,2.7152991,2.321299,2002.0
7,1,0.394,2.7152991,2.321299,2003.0
8,1,0.394,2.7152991,2.321299,2004.0
9,1,0.394,2.7152991,2.321299,2005.0
10,1,0.394,2.7152991,2.321299,2006.0
11,1,0.394,2.7152991,2.321299,2007.0
12,1,0.394,2.7152991,2.321299,2008.0
13,1,0.394,2.7152991,2.321299,2009.0
14,1,0.394,2.7152991,2.321299,2010.0
15,2,0.1217987,1.3133799,1.1915811,1996.0
16,2,0.1217987,1.3133799,1.1915811,1997.0
17,2,0.1217987,1.3133799,1.1915811,1998.0
18,2,0.1217987,1.3133799,1.1915811,1999.0
19,2,0.1217987,1.3133799,1.1915811,2000.0
20,2,0.1217987,1.3133799,1.1915811,2001.0
21,2,0.1217987,1.3133799,1.1915811,2002.0
22,2,0.1217987,1.3133799,1.1915811,2003.0
23,2,0.1217987,1.3133799,1.1915811,2004.0
24,2,0.1217987,1.3133799,1.1915811,2005.0
25,2,0.1217987,1.3133799,1.1915811,2006.0
26,2,0.1217987,1.3133799,1.1915811,2007.0
27,2,0.1217987,1.3133799,1.1915811,2008.0
28,2,0.1217987,1.3133799,1.1915811,2009.0
29,2,0.1217987,1.3133799,1.1915811,2010.0
30,3,0.13046098,1.641369,1.510908,1996.0
31,3,0.13046098,1.641369,1.510908,1997.0
32,3,0.13046098,1.641369,1.510908,1998.0
33,3,0.13046098,1.641369,1.510908,1999.0
34,3,0.13046098,1.641369,1.510908,2000.0
35,3,0.13046098,1.641369,1.510908,2001.0
36,3,0.13046098,1.641369,1.510908,2002.0
37,3,0.13046098,1.641369,1.510908,2003.0
38,3,0.13046098,1.641369,1.510908,2004.0
39,3,0.13046098,1.641369,1.510908,2005.0
40,3,0.13046098,1.641369,1.510908,2006.0
41,3,0.13046098,1.641369,1.510908,2007.0
42,3,0.13046098,1.641369,1.510908,2008.0
43,3,0.13046098,1.641369,1.510908,2009.0
44,3,0.13046098,1.641369,1.510908,2010.0
45,4,0.12710086,1.5170472,1.3899463,1996.0
46,4,0.12710086,1.5170472,1.3899463,1997.0
47,4,0.12710086,1.5170472,1.3899463,1998.0
48,4,0.12710086,1.5170472,1.3899463,1999.0
49,4,0.12710086,1.5170472,1.3899463,2000.0
50,4,0.12710086,1.5170472,1.3899463,2001.0
51,4,0.12710086,1.5170472,1.3899463,2002.0
52,4,0.12710086,1.5170472,1.3899463,2003.0
53,4,0.12710086,1.5170472,1.3899463,2004.0
54,4,0.12710086,1.5170472,1.3899463,2005.0
55,4,0.12710086,1.5170472,1.3899463,2006.0
56,4,0.12710086,1.5170472,1.3899463,2007.0
57,4,0.12710086,1.5170472,1.3899463,2008.0
58,4,0.12710086,1.5170472,1.3899463,2009.0
59,4,0.12710086,1.5170472,1.3899463,2010.0
60,5,0.17103703,1.5894815,1.4184444,1996.0
61,5,0.17103703,1.5894815,1.4184444,1997.0
62,5,0.17103703,1.5894815,1.4184444,1998.0
63,5,0.17103703,1.5894815,1.4184444,1999.0
64,5,0.17103703,1.5894815,1.4184444,2000.0
65,5,0.17103703,1.5894815,1.4184444,2001.0
66,5,0.17103703,1.5894815,1.4184444,2002.0
67,5,0.17103703,1.5894815,1.4184444,2003.0
68,5,0.17103703,1.5894815,1.4184444,2004.0
69,5,0.17103703,1.5894815,1.4184444,2005.0
70,5,0.17103703,1.5894815,1.4184444,2006.0
71,5,0.17103703,1.5894815,1.4184444,2007.0
72,5,0.17103703,1.5894815,1.4184444,2008.0
73,5,0.17103703,1.5894815,1.4184444,2009.0
74,5,0.17103703,1.5894815,1.4184444,2010.0
75,6,0.21102631,1.8662543,1.655228,1996.0
76,6,0.21102631,1.8662543,1.655228,1997.0
77,6,0.21102631,1.8662543,1.655228,1998.0
78,6,0.21102631,1.8662543,1.655228,1999.0
79,6,0.21102631,1.8662543,1.655228,2000.0
80,6,0.21102631,1.8662543,1.655228,2001.0
81,6,0.21102631,1.8662543,1.655228,2002.0
82,6,0.21102631,1.8662543,1.655228,2003.0
83,6,0.21102631,1.8662543,1.655228,2004.0
84,6,0.21102631,1.8662543,1.655228,2005.0
85,6,0.21102631,1.8662543,1.655228,2006.0
86,6,0.21102631,1.8662543,1.655228,2007.0
87,6,0.21102631,1.8662543,1.655228,2008.0
88,6,0.21102631,1.8662543,1.655228,2009.0
89,6,0.21102631,1.8662543,1.655228,2010.0
90,7,0.25454023,2.068322,1.8137816,1996.0
91,7,0.25454023,2.068322,1.8137816,1997.0
92,7,0.25454023,2.068322,1.8137816,1998.0
93,7,0.25454023,2.068322,1.8137816,1999.0
94,7,0.25454023,2.068322,1.8137816,2000.0
95,7,0.25454023,2.068322,1.8137816,2001.0
96,7,0.25454023,2.068322,1.8137816,2002.0
97,7,0.25454023,2.068322,1.8137816,2003.0
98,7,0.25454023,2.068322,1.8137816,2004.0
99,7,0.25454023,2.068322,1.8137816,2005.0
100,7,0.25454023,2.068322,1.8137816,2006.0
101,7,0.25454023,2.068322,1.8137816,2007.0
102,7,0.25454023,2.068322,1.8137816,2008.0
103,7,0.25454023,2.068322,1.8137816,2009.0
104,7,0.25454023,2.068322,1.8137816,2010.0
105,8,0.13892804,1.6330029,1.494075,1996.0
106,8,0.13892804,1.6330029,1.494075,1997.0
107,8,0.13892804,1.6330029,1.494075,1998.0
108,8,0.13892804,1.6330029,1.494075,1999.0
109,8,0.13892804,1.6330029,1.494075,2000.0
110,8,0.13892804,1.6330029,1.494075,2001.0
111,8,0.13892804,1.6330029,1.494075,2002.0
112,8,0.13892804,1.6330029,1.494075,2003.0
113,8,0.13892804,1.6330029,1.494075,2004.0
114,8,0.13892804,1.6330029,1.494075,2005.0
115,8,0.13892804,1.6330029,1.494075,2006.0
116,8,0.13892804,1.6330029,1.494075,2007.0
117,8,0.13892804,1.6330029,1.494075,2008.0
118,8,0.13892804,1.6330029,1.494075,2009.0
119,8,0.13892804,1.6330029,1.494075,2010.0
120,9,0.1871459,1.7821854,1.5950395,1996.0
121,9,0.1871459,1.7821854,1.5950395,1997.0
122,9,0.1871459,1.7821854,1.5950395,1998.0
123,9,0.1871459,1.7821854,1.5950395,1999.0
124,9,0.1871459,1.7821854,1.5950395,2000.0
125,9,0.1871459,1.7821854,1.5950395,2001.0
126,9,0.1871459,1.7821854,1.5950395,2002.0
127,9,0.1871459,1.7821854,1.5950395,2003.0
128,9,0.1871459,1.7821854,1.5950395,2004.0
